agency,description,address,phone_number
"Jane Ann Graff, MFT **",Children's & Adult General & Specialized Mental Health Services,"3550 Watt Avenue Sacramento, 95821 ",(916) 979-7000
Pacific Clinics,Children's & Adult General & Specialized Mental Health Services,"7248 S. Land Park Drive, Suite 103 Sacramento, 95831 ",(916) 388-6400
Sacramento County Mental Health - Intake Stabilization Unit,Crisis Stabilization,"2150 Stockton Blvd. Sacramento, 95817 ",(916) 875-1000
Turning Point Community Programs - Mental Health Urgent Care Center,Adult General & Specialized Mental Health Services,"2130 Stockton Blvd, Building 300 Sacramento, 95817 ",(916) 520-2460
Alternative Family Services - The Gathering Place,Children's & Adult General & Specialized Mental Health Services,"401 Roland Way Oakland, 94621 ",(510) 746-2800
Alternative Family Services,Children's General & Specialized Mental Health Services,"8950 Cal Center Drive, Suite 340 Sacramento, 95826 ",(916) 254-5200
"Central Star Behavioral Health, Inc.",Children's General & Specialized Mental Health Services,"3815 Marconi Ave Sacramento, 95821 ",(916) 584-7800
Central Star Children's Outpatient Specialty Mental Health Services,Children's General & Specialized Mental Health Services,"3800 Watt Ave Suite 110 Sacramento, 95821 ",(916) 584-7800
"Central Star-Consultation, Support and Engagement Team",Children's General & Specialized Mental Health Services,"401 S Street, Suite 101 Sacramento, 95811-6919 ",(916) 584-7800
Children's Receiving Home,Children's General & Specialized Mental Health Services,"3555 Auburn Blvd. Sacramento, 95821 ",(916) 482-2370
Dignity Medical Foundation,Children's General & Specialized Mental Health Services,"9837 Folsom Blvd, Suite F Sacramento, 95827 ",(916) 450-2600
Dignity Medical Foundation (Children's South),Children's General & Specialized Mental Health Services,"6615 Valley Hi Drive Suite A Sacramento, 95823 ",(916) 450-2650
Elite Family Systems,Children's General & Specialized Mental Health Services,"2935 Fourth Street Ceres, 95307 ",(209) 531-2088
FosterHope Sacramento,Children's General & Specialized Mental Health Services,"4144 Winding Way Sacramento, 95841 ",(916) 737-1481
Gateway Residential Programs,Children's General & Specialized Mental Health Services,"1780 Vernon Street, Suite 1 Roseville, 95678 ",(916) 782-1111
HeartLand Child & Family Services,Children's General & Specialized Mental Health Services,"811 Grand Ave Suite D Sacramento, 95838 ",(916) 922-9868
HeartLand Child & Family Services,Children's General & Specialized Mental Health Services,"811 Grand Ave, Suite A1 & A4 Sacramento, 95838 ",(916) 922-9868
HeartLand Child & Family Services,Children's General & Specialized Mental Health Services,"2829 Watt Avenue, Suite 200 Sacramento, 95821 ",(916) 418-0828
"La Familia Counseling Center, Inc. **",Children's General & Specialized Mental Health Services,"3301 37th Avenue Sacramento, 95820 ",(916) 452-3601
Pacific Clinics,Children's General & Specialized Mental Health Services,"3840 Rosin Ct, Suite 100 Sacramento, 95834 ",(916) 921-0828
Pacific Clinics,Children's General & Specialized Mental Health Services,"9343 Tech Center Dr., Suite 200 Sacramento, 95826 ",(916) 388-6400
Paradise Oaks Youth Services,Children's General & Specialized Mental Health Services,"6060 Sunrise Vista Dr Ste 2100 Citrus Heights, 95610 ",(916) 967-6253
Progress Ranch Treatment Services for Children,Children's General & Specialized Mental Health Services,"3840 Rosin Ct Suite 240 Sacramento, 95834 ",(530) 753-2566
Rebekah Children's Services,Children's General & Specialized Mental Health Services,"290 IOOF Ave Gilroy, 95020 ",(408) 846-2100
"River Oak Center for Children, Inc.",Children's General & Specialized Mental Health Services,"9412 Big Horn Blvd., Suite 6 Elk Grove, 95758 ",(916) 609-5100
"River Oak Center for Children, Inc.",Children's General & Specialized Mental Health Services,"5445 Laurel Hills Drive Sacramento, 95841 ",(916) 609-5100
Sacramento Children's Home,Children's General & Specialized Mental Health Services,"2750 Sutterville Road Sacramento, 95820 ",(916) 452-3981
Sacramento Children's Home - Transitional Age Program,Children's General & Specialized Mental Health Services,"2750 Sutterville Road Sacramento, 95820 ",(916) 452-3981
Sacramento County Mental Health - Children & Adolescent Psychiatric Services,Children's General & Specialized Mental Health Services,"3331 Power Inn Rd Suite 140 Sacramento, 95826 ",(916) 875-1183
San Juan Unified School District - White House Counseling Center,Children's General & Specialized Mental Health Services,"6147 Sutter Avenue Carmichael, 95608 ",(916) 971-7640
Stanford Sierra Youth & Families,Children's General & Specialized Mental Health Services,"8912 Volunteer Lane Sacramento, 95826",(916) 344-0199
Stanford Sierra Youth & Families,Children's General & Specialized Mental Health Services,"8928 Volunteer Lane, Suite 100 Sacramento, 95826 ",(916) 344-0199
Stanford Sierra Youth & Families,Children's General & Specialized Mental Health Services,"8421 Auburn Blvd., Suites 3, 125 & 130 Citrus Heights, 95610", (916) 344-0199
Summitview Child and Family Services,Children's General & Specialized Mental Health Services,"670 Placerville Dr. #2 Placerville, 95667 ",(530) 644-2412
Turning Point Community Programs - Flexible Integrated Program (FIT),Children's General & Specialized Mental Health Services,"3161 Dwight Rd Elk Grove, 95758 ",(916) 427-7141
Turning Point Community Programs - Therapeutic Behavioral Program (TBS),Children's General & Specialized Mental Health Services,"3161 Dwight Rd Elk Grove, 95758 ",(916) 427-7141
UC Davis Medical Center Child Protection - UCD CAARE,Children's General & Specialized Mental Health Services,"3671 Business Drive Sacramento, 95820 ",(916) 734-8396
"Victor Treatment Center, Inc.",Children's General & Specialized Mental Health Services,"3164 Condo Court Santa Rosa, 95403 ",(707) 576-7218
Central Star-Full Service Partnership,Children's General & Specialized Mental Health Services,"401 S Street, Suite 101 Sacramento, 95811 ",(916) 584-7800
UC Davis Medical Center - SacEDAPT,"Assessment, early identification & treatment of the onset of psychosis","2230 Stockton Blvd. Sacramento, 95817 ",(916) 734-7251
